Days,Relation
1,6.0192
2,5.935
3,5.8883
4,5.785
5,5.8983
6,6.0517
7,5.9567
8,5.8692
9,5.8758
10,5.8417
11,5.8883
12,5.9575
13,5.9083
14,5.9408
15,5.9742
16,5.9492
17,5.9275
18,5.92
19,5.9175
20,5.9192
21,5.995
22,6.035
23,6.055
24,6.1583
25,6.1775
26,6.26
27,6.1808
28,6.2167
29,6.2017
30,6.1408
31,6.1108
32,6.1617
33,6.2317
34,6.2825
35,6.2792
36,6.1808
37,6.2275
38,6.1867
39,6.1808
40,6.2008
41,6.2517
42,6.2867
43,6.2425
44,6.25
45,6.255
46,6.2717
47,6.3092
48,6.2621
49,6.2608
50,6.2425
51,6.2683
52,6.2633
53,6.2371
54,6.165
55,6.1075
56,6.1209
57,6.0971
58,6.0283
59,6.045
60,5.9896
61,6.0413
62,6.0793
63,6.1583
64,6.0983
65,6.1054
66,6.15
67,6.12
68,6.0882
69,6.1052
70,6.1142
71,6.1296
72,6.1143
73,6.1258
74,6.1529
75,6.129
76,6.1461
77,6.1385
78,6.1453
79,6.14
80,6.1426
81,6.1545
82,6.1673
83,6.185
84,6.2651
85,6.2278
86,6.215
87,6.305
88,6.3167
89,6.3342
90,6.3246
91,6.3114
92,6.28
93,6.2763
94,6.2453
95,6.2337
96,6.2643
97,6.2568
98,6.2754
99,6.2886
100,6.285
101,6.2743
102,6.2776
103,6.275
104,6.2875
105,6.3055
106,6.3297
107,6.3128
108,6.3685
109,6.3918
110,6.3878
111,6.4195
112,6.4042
113,6.3848
114,6.4342
115,6.5883
116,6.5425
117,6.5425
118,6.5404
119,6.5741
120,6.8133
121,6.7467
122,6.7042
123,6.748
124,6.75
125,6.7608
126,6.7062
127,6.6908
128,6.6695
129,6.7034
130,6.7608
131,6.8008
132,7.1667
133,7.1717
134,6.9342
135,7.1471
136,7.4033
137,7.685
138,7.3483
139,7.5167
140,7.82
141,8.1383
142,7.665
143,7.8725
144,8.095
145,7.9
146,7.8
147,7.7508
148,7.7067
149,7.7242
150,7.635
151,7.6967
152,7.6783
153,7.6517
154,7.4775
155,7.5467
156,7.5767
157,7.6167
158,7.6708
159,7.6713
160,7.7083
161,7.79
162,7.7504
163,7.795
164,7.8192
165,7.7696
166,7.7588
167,7.6809
168,7.55
169,7.5858
170,7.5708
171,7.5533
172,7.6425
173,7.6842
174,7.7396
175,7.6958
176,7.5596
177,7.57
178,7.5675
179,7.5388
180,7.4779
181,7.5188
182,7.5213
183,7.4679
184,7.5246
185,7.5254
186,7.51
187,7.4667
188,7.4296
189,7.3123
